uid	startnode	endnode	reportdate
b68464709d7848b2b75fe93de8973671	344fd9fc28fdffccc33aaba33ec136b7	4c4f94289e27a4a07d525533d6203e7c	""
1c7f7fcc31ce46f699ba96b1a63dacb1	353caa64b81bc3e70fee8fa0d89163af	c0e1a216e32b10c4989e8bd8b593434f	""
3d347ebbb0f346c78a94535454426a2f	359df73c6de245e0c399ef414968c34c	5dcd3146862527ce987402224f382d98	""
4b695966eb504de6b59414b5afa21616	36a5265d6872ec099e2bf537b18593d9	27f0c710cd9adebc5363bb5857229fdd	""
d4a50517458643d1b782ff71ddbb88ce	36a658b96426804a2b074ce19f661de3	74028ad1859505921d8f720cb369ee22	""
19143792a62a4880bb470ce11be8a0d3	3a46510feaadd7f778c9b0f0b78ce757	24a1ca9e0e858634105c85d0498e90c2	""
b97cb926e0ac403ebcc94c84bf9813e7	3b266917ad8b034ef01552cac4c793a1	844bdce9b3b075a7bd62c59676122dee	""
93b024e9c23e43b284f42cd8146c0e7c	3b5d387fe6e98b1489890fd5df155c44	b849c8fd7a72193c0b776c90932782ba	""
13c0aeaebd1547db8e8e93fa46f4647c	3d061aec41a67e0b331b45197ad34d9e	0d88cebb8554c247469074ed34e211f2	""
2ca100fed3c648dcbd59cf6cbfbf11c1	46a56771c18efa5bc8826dc182738d0b	065a18d6854b3db29a083f15940deb99	""
4b446b75008244c29a3ad8375984c487	485b45c1e3206f2217be54fef400d53a	ee88c62303382a2834fe7b35b533474a	""
b347ca552dd64005a0fbc245dc3e83d5	4a771ccf87e6f39253c322fdbf4e4f8c	a39fbda6a1bf7f189719f658d27a3147	""
c4420eb8180b44b7acd1d127a2a6d363	4b83fed924408fdb109ab1afd521fa1c	82a898a0bc9919f2b6729f9a4dbf1803	""
5ec0db7b5b2143dcbed1513b42d9463b	4e9d9aab5e6a5c26149ede78a7707896	aef1dfa7bf668ad481bc68faabe63831	""
241c1adb4e8e47af94ba4a71a75ce29c	4f748d8fb89baf3c246a6908e314a10b	3aee07e08c0bc1ecb70a732fe5c9d752	""
3053c44cdb0d4ff4b021076f1f260572	52b972a99c86c293b6b37b96af33c855	e6116759482a20d996e66d22ed718d08	""
435f0d5eb77347da8ecadbcad9cd5db3	533dea45c7ecad4e8682f63b277c993f	e58cf82b891626a01153141b3289f3d4	""
4da342a4867a42b1acac274117bdfd9f	5388fe5063c437345858f9f319901c6b	af060958a82bb66370c4182caabc91db	""
31769ae2f3a14e5ea68725085d9fc520	545ea55783023853aadda320daab1fdd	b1147b3b8ea632dfc059af4f0f2cc9a4	""
