id	gpdm	zwdm	name
0	002851.SZ	dsz	童永胜
0	002456.SZ	dsz	赵伟
0	002628.SZ	dsz	刘峙宏
0	300499.SZ	dsz	李琦
0	000509.SZ	dsz	吴奕中
0	300365.SZ	dsz	江春华
0	300126.SZ	dsz	吴明厅
0	300545.SZ	dsz	聂泉
0	300207.SZ	dsz	王威
0	002295.SZ	dsz	黄裕辉
0	603508.SH	dsz	李欣
0	002959.SZ	dsz	李一峰
0	600997.SH	dsz	苏科舜
0	002307.SZ	dsz	张斌
0	000601.SZ	dsz	陈来泉
0	002192.SZ	dsz	吕向阳
0	000581.SZ	dsz	王晓东
0	002066.SZ	dsz	曾大凡
0	002916.SZ	dsz	杨之诚
0	002855.SZ	dsz	赵晓群
0	600886.SH	dsz	朱基伟
0	300333.SZ	dsz	魏恺言
0	000030.SZ	dsz	张丕杰
0	300692.SZ	dsz	张伯中
0	300551.SZ	dsz	陈崇军
0	002387.SZ	dsz	程涛
0	300031.SZ	dsz	包志方
0	688078.SH	dsz	毛善君
0	002943.SZ	dsz	杨宇红
0	300223.SZ	dsz	刘强
0	002887.SZ	dsz	卢云慧
0	002231.SZ	dsz	李继芳
0	300752.SZ	dsz	吕小霞
0	002662.SZ	dsz	李璟瑜
0	600261.SH	dsz	陈卫
0	603179.SH	dsz	唐志华
0	002166.SZ	dsz	秦本军
0	000655.SZ	dsz	刘远清
0	002200.SZ	dsz	王东
0	002150.SZ	dsz	柳振江
0	002469.SZ	dsz	曲思秋
0	600956.SH	dsz	曹欣
0	002139.SZ	dsz	武永强
0	000546.SZ	dsz	赵辉
0	300565.SZ	dsz	陈登志
0	002849.SZ	dsz	黄文谦
0	300023.SZ	dsz	王伟
0	300088.SZ	dsz	高前文
0	002963.SZ	dsz	戴宝林
0	300099.SZ	dsz	黄自伟
0	688178.SH	dsz	刘军
0	002502.SZ	dsz	龙学勤
0	300217.SZ	dsz	谭荣生
0	300672.SZ	dsz	向平
0	002193.SZ	dsz	邱亚夫
0	300359.SZ	dsz	陈炽昌
0	002434.SZ	dsz	黄河清
0	002709.SZ	dsz	徐金富
0	300370.SZ	dsz	许永良
0	600750.SH	dsz	卢小青
0	002803.SZ	dsz	庄浩
0	300403.SZ	dsz	石华山
0	688009.SH	dsz	周志亮
0	300512.SZ	dsz	史中伟
0	300111.SZ	dsz	曹阳
0	000565.SZ	dsz	张伟林
0	000567.SZ	dsz	王广西
0	300781.SZ	dsz	王建朝
0	002232.SZ	dsz	郭永锋
0	002782.SZ	dsz	肖铿
0	002323.SZ	dsz	唐继勇
0	688085.SH	dsz	刘明岩
0	300478.SZ	dsz	吕俊坤
0	603773.SH	dsz	易伟华
0	002466.SZ	dsz	蒋卫平
0	000613.SZ	dsz	袁小平
0	000629.SZ	dsz	段向东
0	300602.SZ	dsz	马飞
0	002590.SZ	dsz	陈锋
0	601179.SH	dsz	白忠泉
0	300785.SZ	dsz	隋国栋
0	002137.SZ	dsz	陈亚妹
0	002735.SZ	dsz	王进军
0	688021.SH	dsz	潘吉庆
0	002770.SZ	dsz	张清海
0	002759.SZ	dsz	吴锡盾
0	600397.SH	dsz	邹爱国
0	000890.SZ	dsz	陈明军
0	002190.SZ	dsz	石晓卿
0	000050.SZ	dsz	陈宏良
0	000586.SZ	dsz	何波
0	300103.SZ	dsz	孙建西
0	300397.SZ	dsz	贺增林
0	300636.SZ	dsz	庞正伟
0	300577.SZ	dsz	范劲松
0	300517.SZ	dsz	张海波
0	300315.SZ	dsz	刘惠城
0	002199.SZ	dsz	王皓
0	000547.SZ	dsz	崔玉平
0	000021.SZ	dsz	周剑
0	000911.SZ	dsz	莫菲城
0	002789.SZ	dsz	刘海云
0	002812.SZ	dsz	Paul Xiaoming Lee
0	000617.SZ	dsz	刘跃珍
0	002653.SZ	dsz	王俊民
0	002281.SZ	dsz	余少华
0	002247.SZ	dsz	陈智剑
0	300191.SZ	dsz	周锦明
0	000628.SZ	dsz	任正
0	002048.SZ	dsz	周晓峰
0	600395.SH	dsz	易国晶
0	002457.SZ	dsz	赵铁成
0	300312.SZ	dsz	张庆文
0	603331.SH	dsz	施小友
0	600895.SH	dsz	刘樱
0	002663.SZ	dsz	涂善忠
0	002250.SZ	dsz	王萍
0	002420.SZ	dsz	熊海涛
0	600184.SH	dsz	李克炎
0	300741.SZ	dsz	夏利群
0	300292.SZ	dsz	万卫方
0	300733.SZ	dsz	魏晓林
0	300317.SZ	dsz	丁孔贤
0	300807.SZ	dsz	郭建国
0	300330.SZ	dsz	秦伟芳
0	300695.SZ	dsz	孔爱祥
0	300507.SZ	dsz	李宏庆
0	002284.SZ	dsz	黄伟中
0	002691.SZ	dsz	冯帆
0	000595.SZ	dsz	王静波
0	000903.SZ	dsz	杨波
0	000676.SZ	dsz	陆宏达
0	300069.SZ	dsz	吴兰燕
0	002891.SZ	dsz	郝忠礼
0	000005.SZ	dsz	丁芃
0	600157.SH	dsz	王广西
0	002266.SZ	dsz	孙毅
0	002019.SZ	dsz	程先锋
0	300457.SZ	dsz	王维东
0	000819.SZ	dsz	王妙云
0	601339.SH	dsz	杨卫新
0	000627.SZ	dsz	刘益谦
0	300521.SZ	dsz	李明之
0	300044.SZ	dsz	周勇
0	002577.SZ	dsz	曾浩
0	002299.SZ	dsz	傅光明
0	600227.SH	dsz	丁林洪
0	300235.SZ	dsz	黄元忠
0	601558.SH	dsz	马忠
0	000798.SZ	dsz	宗文峰
0	600532.SH	dsz	俞倪荣
0	300083.SZ	dsz	夏军
0	000752.SZ	dsz	罗希
0	688116.SH	dsz	郑涛
0	002779.SZ	dsz	吴明根
0	300679.SZ	dsz	陈育宣
0	002634.SZ	dsz	陶建伟
0	600685.SH	dsz	韩广德
0	002337.SZ	dsz	张晓辰
0	000598.SZ	dsz	李本文
0	300201.SZ	dsz	金诗玮
0	002980.SZ	dsz	袁剑敏
0	002642.SZ	dsz	王东辉
0	002978.SZ	dsz	罗阳勇
0	002213.SZ	dsz	连松育
0	002205.SZ	dsz	李鸿杰
0	002036.SZ	dsz	韩盛龙
0	002076.SZ	dsz	施新华
0	300305.SZ	dsz	王建新
0	000988.SZ	dsz	马新强
0	000691.SZ	dsz	马兵
0	002739.SZ	dsz	张霖
0	002861.SZ	dsz	黄晖
0	300712.SZ	dsz	林一文
0	300772.SZ	dsz	杨震宇
0	000409.SZ	dsz	张宝才
0	688022.SH	dsz	蔡昌蔚
0	002053.SZ	dsz	谢一华
0	002798.SZ	dsz	刘进
0	002062.SZ	dsz	郑宏舫
0	300386.SZ	dsz	黄煜
0	600854.SH	dsz	沈华平
0	300283.SZ	dsz	陈晓
0	002338.SZ	dsz	孙守红
0	002391.SZ	dsz	于国权
0	300340.SZ	dsz	万国江
0	002487.SZ	dsz	金鑫
0	002853.SZ	dsz	马礼斌
0	300379.SZ	dsz	黄永军
0	300674.SZ	dsz	洪卫东
0	600026.SH	dsz	刘汉波
0	000507.SZ	dsz	欧辉生
0	000603.SZ	dsz	朱胜利
0	600203.SH	dsz	卞志航
0	002426.SZ	dsz	高玉根
0	603595.SH	dsz	沈新芳
0	002490.SZ	dsz	刘云龙
0	300002.SZ	dsz	王宁
0	688218.SH	dsz	朱振友
0	000425.SZ	dsz	王民
0	300141.SZ	dsz	姚建华
0	688007.SH	dsz	李屹
0	300374.SZ	dsz	孙志强
0	000915.SZ	dsz	朱效平
0	002032.SZ	dsz	Thierry de LA TOUR D’ARTAISE
0	002074.SZ	dsz	李缜
0	300782.SZ	dsz	许志翰
0	002716.SZ	dsz	曹永贵
0	300151.SZ	dsz	李焕昌
0	300008.SZ	dsz	刘楠
