id	gpdm	order	name	gdcg	gdcgbl
0	000029.SZ	2	卢志高	3246949.0	0.32
0	000029.SZ	3	谭石庆	1286701.0	0.13
0	000029.SZ	4	杨水莲	1273700.0	0.13
0	000029.SZ	5	杨剑雄	1255750.0	0.12
0	000029.SZ	6	中央汇金资产管理有限责任公司	1165500.0	0.12
0	000029.SZ	7	彭伟	1129082.0	0.11
0	000029.SZ	8	吴浩源	1109300.0	0.11
0	000029.SZ	9	GUOTAI  JUNAN SECURITIES(HONGKONG) LIMITED	1015683.0	0.1
0	000030.SZ	0	一汽股权投资(天津)有限公司	441995373.0	24.41
0	000030.SZ	1	吉林省天亿投资有限公司	331495386.0	18.31
0	000030.SZ	2	宁波华翔电子股份有限公司	252568785.0	13.95
0	000030.SZ	3	吉林省国有资本运营有限责任公司	181657489.0	10.03
0	000030.SZ	4	中国证券金融股份有限公司	42493825.0	2.35
0	000030.SZ	5	中央汇金资产管理有限责任公司	35004200.0	1.93
0	000030.SZ	6	中欧基金-农业银行-中欧中证金融资产管理计划	8509200.0	0.47
0	000030.SZ	7	南方基金-农业银行-南方中证金融资产管理计划	8509200.0	0.47
0	000030.SZ	8	工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划	8509200.0	0.47
0	000030.SZ	9	博时基金-农业银行-博时中证金融资产管理计划	8509200.0	0.47
0	000031.SZ	0	明毅有限公司	2112138742.0	49.28
0	000031.SZ	1	中粮集团有限公司	857354140.0	20.0
0	000031.SZ	2	太平人寿保险有限公司-传统-普通保险产品-022L-CT001深	283417532.0	6.61
0	000031.SZ	3	工银瑞信投资-工商银行-中国工商银行股份有限公司	77025469.0	1.8
0	000031.SZ	4	中央汇金资产管理有限责任公司	65864600.0	1.54
0	000031.SZ	5	全国社保基金一零八组合	51000022.0	1.19
0	000031.SZ	6	中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)	46000000.0	1.07
0	000031.SZ	7	香港中央结算有限公司(陆股通)	28531216.0	0.67
0	000031.SZ	8	中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金	11178292.0	0.26
0	000031.SZ	9	张忱业	7459136.0	0.17
0	000032.SZ	0	中国中电国际信息服务有限公司	202650154.0	49.04
0	000032.SZ	1	中国电子进出口有限公司	38391238.0	9.29
0	000032.SZ	2	深圳市龙岗区城市建设投资集团有限公司	11298170.0	2.73
0	000032.SZ	3	吴安	8742000.0	2.12
0	000032.SZ	4	中电金投控股有限公司	4110888.0	0.99
0	000032.SZ	5	焦红遇	2050000.0	0.5
0	000032.SZ	6	陈铿帆	1953900.0	0.47
0	000032.SZ	7	郭小球	1859700.0	0.45
0	000032.SZ	8	张胜红	1846680.0	0.45
0	000032.SZ	9	林振鹏	1632590.0	0.4
0	000034.SZ	0	郭为	154777803.0	23.66
0	000034.SZ	1	中国希格玛有限公司	77035746.0	11.78
0	000034.SZ	2	王晓岩	38678205.0	5.91
0	000035.SZ	0	南通乾创投资有限公司	408938743.0	16.2
0	000035.SZ	1	中节能华禹基金管理有限公司-中节能华禹(镇江)绿色产业并购投资基金(有限合伙)	211247623.0	8.37
0	000035.SZ	2	宁波梅山保税港区昊宇龙翔股权投资中心(有限合伙)	99958973.0	3.96
0	000035.SZ	3	中国平安人寿保险股份有限公司-分红-个险分红	96460102.0	3.82
0	000035.SZ	4	严圣军	93901228.0	3.72
0	000035.SZ	5	上海中平国瑀并购股权投资基金合伙企业(有限合伙)	91637097.0	3.63
0	000035.SZ	6	北京奋信投资管理有限公司-嘉兴合晟投资合伙企业(有限合伙)	83299436.0	3.3
0	000035.SZ	7	南通坤德投资有限公司	75345534.0	2.99
