uid	startnode	endnode	reportdate	order	ratio
42200228ff454e9688b7bcfad0468486	4a853837a4a1c97e83d8166a462c981c	97c7b0a08b692464baf8678cf111833c	2019.0	5.0	1.65
c7181439b5a9428ca8a61276d21a3757	4c5365cc2a1818b7647cb49fc0be518c	e50644eb958b5c1e12f0ad18c244aaf8	2019.0	2.0	7.25
f7c56709799f48d9b4e424e240619224	503d022c4bffb490a2f92abc856b42d4	59baef0d1b98f94b05bc9969ec55fc5d	2019.0	3.0	2.64
72b6c5bdcd204e948c13def03146970a	5751f692ee7235fefbc91e2b472730d6	6bbad99eae2f3955ec23c9126ea69ca8	2019.0	3.0	3.49
7631ef460a6c4b37921bbd7034ed42fe	5be3f427ceab95a543ad918556f50b81	d6d74dad77b96134d2f39046be62618e	2019.0	2.0	3.54
de08716a66ac4c8b8e4bcb1ad34869c8	5f6ae1a66a56a53f6aee49a50d21d940	92b1bb50c8fd1bc488b50d7d0330558b	2019.0	1.0	23.4
a6ffa3943e4743288995986118a02b59	6503c11f16c8e505c2071417d02a6da0	725b40818c80f79d9de1fe87b17ded4d	2019.0	2.0	4.72
b5e58fca577442d3874cf82bcce62faf	6521c61df569b4e5c3449b5cbdf56054	3d4196ded8f951aebd6290ae84ca8144	2019.0	4.0	2.31
0a8bf517b7f24de9ac520306fa7ed4ce	6eb376e0dc1b181364547d2725ea19cf	459dbc460efab259e9fe3c7155bb0189	2019.0	2.0	2.27
b3a73ae4c1854b0aa88b22ed6373f050	75a30686930e8a54bd3240e305d2ff6b	df3f5c1b3234dbec1f4b59e3c7988ae3	2019.0	4.0	1.96
cca6ebaea0cd4f63b181fecb8f0f0b1e	763adcd0e0b286a4d998313847558caa	a1b40819b8f631657cdf1028bc7cc6ea	2019.0	5.0	1.72
72b434418bbe423a8f071889ea0788db	7c018c2219e84f7c8143454957ab65f6	ba3f3c842a0df05e1df8a0937ac3800e	2019.0	3.0	2.49
