uid	startnode	endnode	startdate	enddate	title
8a3a6ffc84504211a9a5b4b188b57613	241db9a2d64e5b2aa8ff89dd25df8e1c	f1b42ba2d29caa18606dae5291bc2c7a	""	""	总经理
4cbd3c2d7a224d8bad8c3265097100ed	281322898de69e1f36a025fdaaf06abc	533dea45c7ecad4e8682f63b277c993f	""	""	公司高管
6de07024135442d1be3749bda0093587	2add6f3d3d75a144e8f26ad83ce2e283	585f8193467add1588d7c56740b6e5b5	""	""	董事会秘书
e56400575df944899fc433c85d9b9354	2b1224b49bdcb97f3ab7baf5944e4a41	7e358ce74898eeb98d8a00a1c8e864e0	""	""	公司高管
30cf85fb02e34c0fbef7419455c19205	2f947fc110836d0c4ecc0297621d9c0b	c98d0f88f92209ec3855e0b569c22bfe	""	""	公司高管
7a01376eefb04623ad427fdec987bde6	315c5c67201b310ae5255c0d708e8ec9	611cc0ece5150fe9951570a3c7fe71bc	""	""	董事会秘书
70e9e470705c4f0cbe748f944ebb7a0e	3176de011b2380c39fc53c562285b889	dccc9e6db5ea28a340d937aad059dfae	""	""	公司高管
f8a02523f97347119889ce640d5ecf06	356e8ab48a80fdecf52eb52e62192f67	1e0f2ea3ad4349ee74b344c26022133b	""	""	董事会秘书
9e281ffc216a4c1a93bd0b127bd71294	383736299550290f598c805b75e5954d	536c7905dac09d1b4c7fe46068c3b61e	""	""	公司高管
0c5bee3e32984fd88b3c97292adbeb1c	38fe204111f2cbb3166188de34c32044	6c627eb60a39767c2aa525cb69dd7a5b	""	""	公司高管
2fbc3f0898804d5cb14528ec46e55533	39a6126c4ec8ca3338a3e8cdc6aa7d59	422876eef9e2493e7ed05f4782bcf268	""	""	董事会秘书
29429b1683a24e43833e00462b569277	3b44ee2c432c7c72439a67b15cde6296	ccea62ac56650b96317018c352a97b1c	""	""	公司高管
cef229339d374704a7b15a062868857a	3e36c30ca4bccd89cb73f1a4a988d620	570280a9b5e1f87820b69ce1596fe013	""	""	总经理
b42fbd3ab39341158db58819b9ce0b4c	4667a4a70ebbcce9f19b2a690e798e92	f1de221c580b7f201ee44aadd630672b	""	""	总经理
f5199227c109486cabee6b5ab43d7c69	48dcb312173a3669e7cb83c7eb99949a	876a57f19774821b3714ed81ea8d47ab	""	""	公司高管
a47f1fb9eb7148e5afcf6d2f238e41a7	53cc14d6e817f42b7da6634b02f86552	d8c0bca17979db80c0d3a655c31df4e1	""	""	董事会秘书
d4e8f4e534c54089a8a76b9f45de8f5d	5444a85a73756b4208db6d5846aa2c1c	bbcf4de3ae031fb327d7e5cccd4ab7db	""	""	总经理
c557dde9f1154bb1adc77275613142cf	5592742997023cced10648e1519158cd	c3f66c95e701401597f4afa5d70e2026	""	""	公司高管
d8a8100dcd1c4c7888c6e297b79593db	55ee90fd12c9df139f0c6e759dc1d7a8	0465930bc42a78baa53d863b5ef789c1	""	""	总经理
5139796333fe46b18d5b00a773749157	58a8cf6a903c76e9d17ac4b62b6ed7e2	a9f0b07e0b152b44ad9c5ad9a28c9922	""	""	公司高管
57c6b92518584d19825eda5800765e97	5967e703e7fcce6f75643b48f27e50ab	8df2db41e39e2cc88b47a2b7c4ef67ce	""	""	公司高管
feb76a1df5664846a11266a8290f9c8d	5f555fcb70525c4bb995a6bd8f91e5ce	81949fe9974dcdbc2da6f232a9c9c766	""	""	总经理
372fd70f41ff4dc08912a3c49e78466e	5fd30fd77cd5a9ead44850ea2624213e	4e91083fd29c4a95ca0837a3c9b31c8e	""	""	总经理
74933d10d3bd47e88f8e802f8b901ef5	60690cd1d001a965c6cb5b718f7348c1	659ccd1e2a7ddab29816cf1aab451bf3	""	""	公司高管
166c5739eff64db5a7e03ab9490e8441	61d1025f7216a9d6af56ddac9e9724e9	02435dd821f7e3bfa9141df8eaf22c99	""	""	总经理
2f5a3b60afcd45c3b09d514433cb83de	6c815b943255ef0034bfbda5947a8fe4	3a0051b419e8b7115fa4809dda0aef4f	""	""	董事会秘书
