uid	startnode	endnode	reportdate	order	amount	ratio
d4745f8618384b9985fe1c0b59e46bed	b3c1212df30f7aaaf054b6de25a02953	8be6a229886e1e055f9a6443e3e871b9	""	5	2317106	0.57
80b8b89462fd46b1866aa2d7f7d8031c	ba53a632da6c19dd5a91f18fc66be9ee	d5c1d3cea215de353f56a480efb659de	""	5	7824600	2.62
7665b2beded14acda2feeefd187d63aa	bc2149d547c57db88bc8f0325013a1ea	16f46958b5e32deeac6f1b5d336bf349	""	1	13125248	1.84
46c6de9904754c6894568d28712656d0	c138a1b0797b6f662690e1d3cab266e6	b5315271c53271a8a9e7d7ccd826f3a7	""	7	3281100	0.34
e37c1f946b8f4631b286870542725549	c60f49bfabd21a1fea516a6f395a4923	b5eed59f62935886f7756647074215b6	""	3	5358050	0.7
fe03cb62df1f42a8b5295ac9b0e4df8d	cb89d9fcc9adfadd005555c0342b1e26	c6b06afce46b16dac4f3969085f714b2	""	7	1413000	1.65
f011ef4ccffc455eaf7ec75acf5bcbef	cd1b46fbd60c0663208fbd35491ceff8	b306a7a9eec23eee0c1e89c1f12fff32	""	1	30556691	4.41
d66f4e9397a14f52b7838b3155775d4f	ce15f28521af1c6e5455ef30e0985bf8	07cf5d778e4584b8633d3c54afa58283	""	4	2644910	1.41
b6bbfaa30826473fafa42ef66ac3d55e	ce7faf3f87e17510c6d01f9c6d4a3b27	9f9280d7707fb580cb607c147b650152	""	2	1917600	0.52
e246cefd99b74bfcb3db03490f6c7a2c	cf029f1b907420b9752841cbc2f92980	28e532ed1ae2b57cc2f498f2d057f0e8	""	7	1062800	0.39
59b94757d7af472585c86e29d585fe9d	cf410d996be6eaf5fc056f33b1f58afd	b605ebf3eb6f353a7daaa8dd71f9df61	""	9	18000000	1.74
af3254860e4d4804a16a9e117742e832	d925d1e39c46b57b816c4e59df088497	00ef441dbfa8a349e33a2a9290898300	""	7	46785365	0.54
860ce1c8654a480d8d255fc5e00263d9	da969d6e8edc2389d8d4b7c611ce62bf	e265e4284717c34b18a1703a7f73b55d	""	1	40758100	22.85
837fd62bdf024f98951223948219daa1	dae0636e589db9678c797c1a387608b1	2ba788d096e64a5ac045be79b2c2449a	""	4	15293868	1.6
6f3f4635cd4c4dec965361745f64f3bb	dc8e956a20caee2aa8bb0e39aafe74ab	b06303c8667dd5eb97279bd9f29412bc	""	3	2407200	0.22
d00a1f5604c149908dd358975f969695	e06aa1ced87d81ade4086889f910af54	5ef5fcee562fe607dfb2e8f9107f0c49	""	4	1644278	0.75
519e64e6421d4ee4893d8ef09a0627c3	e1b06bfa759603b52d0f9c3a6130a04d	31fae94ff57fea91236f83089d6d10fc	""	1	72003672	15.93
6f946ba5b61d427ea9bbabca0de093a7	e5ee3ebdbf83df9b061dd6e2f5f1eb34	b7e731ee46a49cdb5fdef476d5045454	""	3	5672960	6.53
3f1ba8d6e1dc45169ed0869365ed2416	e73ed5e4e563bf3438a5539b18f5e5bd	6d99b42e03f7fbc7e5b1b2d98ef7ae58	""	5	2744800	0.65
74345ac9e8294f6cb45e0005999fbcec	e8a30f844617807692dfe903ff06f151	584ba3151a571059317b13fc8dfa6490	""	5	14607722	0.89
de1a953d5ed7499b8362d803c4973109	e8fa57667260b8349f60699d7a709241	b3fc8bf7861bfd959f8ca54daf48a899	""	2	13715640	5.32
b8f3af64f8bf4b5da7fca6a04012c705	efb36c1815314e08c3bd16f5ce217972	e87c3cfbe3a91701b21cc4664b56032d	""	9	1170000	0.98
8607e01fd5394a6e865dba91bd304697	f2d5cdd08c6f3c1e3204208fc5faf26d	1c9ead80f48b75dcbcb640bd73e98183	""	6	4843628	2.11
