uid	startnode	endnode	reportdate
c8d32eb4d56749e299a717b7940928b5	2c58a43023836cd0439096f9693f12f5	0bc5331a86ea971f8c13dd16758fb5c3	""
04fc9e12d0154bf98305795a478ff26f	36ef2b84f5a2abaa137452eb10a5fdca	0e55c8b5989e9323d79d502c1c083ef9	""
1ca52b15db2848b7ba27f7b87463c64b	3a8ecf3bd4b621e06dae3a951f4fdc20	3465cf4b25c5385d94af8ec1e9d89cec	""
a6fbdbe7ca0a46afaa37041f29fbfa59	44a7f9b9bc14a78a02e7fdec69220eb8	3f3358c41e59e4ddcba7022823d90af5	""
6d3012ea048c4239b05942545bc89341	4e461b29e67cb0aa55de40adc0f4deba	8f1f856b0104b506396f590d406a24bb	""
d7bacd5c568846cbbbbc97cafc411243	564fbca863a35fae16532ed7ab18603d	3605ee4288abc060e728fb2799e7bd97	""
55149aeb272747fb9e9f4342fa6da226	6f154f75dabcd0c8df3b4f48d30ae78a	cba3a14ca50bf29ab62706fe7a53f9bc	""
65f5e78112ca4c56992c1be79487736f	788da02d09d85aa8a564e1e963a4a580	8a8d5c2ad4ea9b4077b4d2973db5cf54	""
a2e9bf317b2f4eaca90e05cecc98c936	996f471609e35a7f1f47faa52bf65711	6c55046f521269a72ced85be3d43183f	""
f444604eff8243fe8b52ba885ac06e5e	a0b209219ca6aaa8c117feee30564875	af9ebfa6ca832c3ae49dae5a7dabb90d	""
a6347fcc537146b982e6cf8805061ca3	aa216fbff616acf10f1d4d58a9b43d43	5d0b883ad00a715456a3cd72b35ef048	""
6f600e5cdcbe456b9b912a1a4f4564dd	bb1a83c2054cc6d244a3b92c47d581c3	f50240c74c34f2c0d52b9b0b5961b79a	""
1fd2f86ed1c44cefb2d674409abe1c1a	d9e876e5319a06396a050b8044f6fe92	b155a8a57f3acff65e7cc7bc9b9f6057	""
0cc19b20918b47b09c5499de93d67991	e19e829e0eb2dd3a41c32df75cd2ad50	c4afbd095b2ad457d775c3cadd4b5798	""
8b293845035244cd9f78e94335f4b99c	edb0cb080f3b022d73083432665559d8	3b802d375210716bf70a670238337b89	""
db2b480eff7542bc8420715fc2b834f1	ee9338e773617718166d459b1c3a44d2	5bcc6899042fc6d9e4b919e60710892b	""
99aaf6aea33347ad8ba57de3f2d5c298	fb555ef2956fee9ccb1ff0b2cb8a7b4f	6726ef1e1343a6374c8d05895bd84e7e	""
483647eb00dc43dbb66a0ca6dc94709a	1b858237fe25957fa9b3fbe99e44f7e1	214ea9874746217f55b5fc623de20d19	""
1fecb28ab7cf46f1a1c816d7e0ee028a	2aa158fcf7e4866a4114c3621b0811de	24552bb7c6281fc33c38c28f8117a12a	""
36805d4a00a14d63b7be6b52b18983d5	3d9e51bb216256da3fec1e1e13d6d30a	90f1f56ba2b1c0520e5bf572dc74f994	""
a7bd32ef27b1444684aa36df9a1bd391	833593fc47547814a5e8047768af805d	a8002be56bee05a5965577ebd3f2d027	""
0c02dc88b05d487c92de14b7eed99bff	89c25d7b93abf5ea791fa617ce5d97d9	bb9430d58b90726baaeaac3e5cca0279	""
12bfc9b0a6994958a7f743865c606eec	8d37efc47b1d7e589323d6234a9519af	16401cd7bd506dc536d543e4b00a9f39	""
47fded43704c47199f3e3be00f61a4b6	8e487c1d0456c537acd16fc7fdb7e97c	bfdf6318c99244a2a6c4164528994730	""
613d5d546980492c81581220e857216a	97cd756e8689982209452c6661e13634	188e4988ac99dbce876a576a3235fb9e	""
aa64f94ad8e34a959afc71b1b27e7ce9	a3dede2e6efdb5f8f698c5245cb93423	d28d2fbb5a4c8c91e9b77a1cdae33397	""
81a66072cb0740bdaf7fe1777f8f307a	cc722722e75244d1193a5f67d31a6eb5	3f48b57e7cc0e1b97dec70f6d5465229	""
0e8053472acc4f01b2477e8a120a725b	e05236bd5d4e128a015453791bae04a3	a9e4f88a6a4e953aec383654e320ae9b	""
dd1b2b7192b04a1a88486a5169419896	f029190f1ee49685ba5e3c8c66f65436	00ef441dbfa8a349e33a2a9290898300	""
9e0a80486c6d456abfd1de49597384a2	f6e396f622cf11c7d85fa5e20e18d7d4	f5d23777221d646e33a25c316edd1c33	""
3c2c80b88aa9438b8bc6def9d3fe9509	f81dd7ca171a60cbc124aaea821b3b00	8514c739926dd26060bf11ee4ce62c84	""
c2d0c6c7f8e04453a5c6d3ee9d9f4855	fc718158d98f98bde77908b8de70c2cc	27b2ac04815a3866ef86e5ae1b574950	""
8eb349c834b343078267b47a903c6546	fe94f94ac427f8a42eac1f03dc8fa7bb	efe98aa4719627434cce5b8e354f02ef	""
d3f38b080d464427b821f9a20b40839b	0f3adb7860bf4d61a58d11f3a268786f	67de624f75eef823a340ab00542c878f	""
6a32860434694317b6b691380fc27da2	1afeea014696ef2d1eda870e69a0692e	90396d27142ee2637e2b82460028af5e	""
3016403b97fd4f4984379e3bff137aa6	2db71e22231a2365b7375a37ad4fe706	50727ffc7ae054b32093cfd611629934	""
dfe663640a3d4b25bf69ccb987fab08d	2df15beb36d68fd00278485494d3af17	c9317321a1b4301decb2d7c72e66373c	""
d51adf7d14f14ca4b7058fbfc745ae50	33dd82b346767fef785320cecdb16733	da9b66009e22ff33de83ff40a88169f1	""
418b4b3b73e34af8be21ef7c98cfa391	4a45948401fb88ee954959f0ad111d95	e949cafb60556aa8d7095127bf1b10ce	""
6876521835f046b793d4ab4bb2762a3e	54083db68c514bea82fc0cab0fb587e4	6a1a401ac03d144235c4dee47769d3d9	""
ead44be6a70c4bd6b411c88e683ec73f	5479f089079797bf6d458f42b43c6c40	67a22c4e8b6c728171bb1ecfa40bb511	""
0379b988d2944b0ca02698c64284743b	63236cd10fe3f4a8b466b60632790f17	88b1ba2167cb57817cbff39474fae348	""
6a29f389b1824e41989349cb56020c1d	68cf0d1057c1f15cbc9ec86c97389629	5abc46ed7322c68ec55de070a0fd1d79	""
fa03d78f233a4b18865058ef739fd4b0	68faf389e0b3ceb8ed91f3fdd6ea05ee	c02427a8908dab6fd32403fae329215c	""
0af87dfa4d504f8ca47ab7d0752995d2	6b3e54656612dea42879fc4ac2a172aa	17df754813848ca5faa07544d00cd31e	""
f0efc4e5818c4605bda4fab60f4a6512	8473d4710c5ff2ebbe011b5f2d73b083	785d16743b9e238cdf7feb984d00fdbf	""
cad113d2f59d4e44bc205575c2ebcbb6	e36371a75712ce90697512f9ce4a1759	27ca2e78c57ab9f12295f16185bd9c41	""
e42a5169d7f341e284ec6eb957286f4f	eedff9b00b8f4a9ecc739f912eaae415	b6e68a588d042d4f71358e86f7e75491	""
a2a477f5242f479fbc726d26214498cd	f5b0447d7d6e0a9122f47c57e2b12a88	046d1ab8857e17a0609d3dc674dbf493	""
ca1d487da7f748f3ba6a90d0061c3ef0	098c2efdbf6b02f497549052a4357265	14d3e4ce1d22db5570c8dfccffd88f8c	""
4f448ba3c6d74b88970ad4f6a0dd74da	356b6802a8acc395ff0dfcb57453124b	2aea7c231330182f02d9e619cead24ce	""
b3b8561fec3d49deb4176db81a1e7d5d	3d494f30855abd7b14869bb7575000b0	40aa8a3673e77487b7f97797a2267191	""
10dde74261894083a697f9763a8ba196	3e7ccbb85e21cdb42c0be1050c55cc12	b0994194733d286c244d8432cf0770cd	""
56c1334ad0584070bd795f382230376e	42cbc3fee8cbff172ffdbb4d5125bf1e	59baef0d1b98f94b05bc9969ec55fc5d	""
c3341b5d2990475db44dc80ae5ded15d	4759ce1dd7858b069de10a4c75c33edf	c75b935677eeba347047b3d4ea4e3c83	""
84f78b6ba50e4061b57b30958561ac51	604720b238e8bf4dc6566eab8eae03cd	db08a216ba52f4ac1496b65f55b56989	""
3c454d41173d4a959301fbf748c6ee13	6282e45d9231cd391eee63971ee47c68	801942942b91f89f7ad632145a1b512b	""
16558c23532043a5bde85917964d1546	725fa2b8b54720ba745d35473d5b8391	9130920c1eb3491f2202ccbe38e1f437	""
095d4715a1a4409bbca5622acbe04e07	75bc04850f3c22c3f7d8d59f025f4622	58bd04c7903b2cb8cda9083617038b1c	""
05215f18e0bc42888944a5051d6aaf8a	8ea815a4de3b025039dd1f1329829ddd	693b853ce0bb195fefef94d16a317d2b	""
6a7955dd3c13440589543458e1064e8f	91cb5ec94f7eb9ba90536e86335ca3a6	621c22a1f2f3772fefc417e9612b91b1	""
03b6f2db24ad491db662a22e546633e7	c11ed3402ae547ee1593bceb6cbd120b	fd6acf58bcad61914486a3b63ab4b3e0	""
b89477f72f964cba83fb48a1d25f3c02	c2b370e2c67d2ac35b65fd5513875217	a90cdf22031587f3a3b6f486db5e9834	""
f1cb6610567048d7a14888ace6d3838b	c7313dc1ad8fc25af2629e482e6b9c03	c6416decf4ab60b991cd060567909876	""
1421fce8c71e4590807625132d76721e	cb4caed718680911e33c91df90530c42	9deb21a1e853b8145d9f5c0910c7bdcb	""
9a89084767824652959f451492e0196e	cf25cf3aa5299ed5efa203f29309e38e	8e4ea05063cdfa2ef7bf844daaa2e02f	""
80d5cf33a4824e698aeef381b3d39ed8	cfd98c62c2b333586ef8d95b3de54577	2c520108bda9cb0f21a6689c104dd659	""
ec4916299a214041b641e823115c6ed6	d35e256a87d3735696f69098dfeb265a	2870413dc8a215738455a970e310687e	""
086fd63210cc488c88fec59e0a16f883	d7660904def0311bcce223c9c95ee6a7	11db185185f2a9a76db738fc30c81eb2	""
8d02f3fbdfe746e897ae62c5b7cce132	d9ff67d8ddd617c90bb730263d581d85	a812df68e452257ee889a884aef161cf	""
3c1fea7e74d446a2ab90e1e9664bf753	db41d1590a48752fdaf6d19dac924fd2	4cfd5d5ec9ddccc8d0385c9f2c1f41eb	""
